Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0350037,0,97,41,1243943,197264,24312,21183,37173,37996,7283,777664,-20|42|55|43|44|37|-1|-26|-34|-34|-11|27|72|108|123|88|21|-19|-20|-9|10|60|118|137|108|59|16|6|3|0|18|75|141|163|138|96|18|-49|-68|-46|-28|-2|35|44|35|20|-26|-98|-149|-163|-122|-33|48|53|25|23|21|-9|-52|-81|-84|-36|52|106,0
0.0690002,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,105|88|55|-10|-41|-22|3|25|69|124|151|146|113|59|10,0
0.10202,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.136017,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,-12|-9|4|32|72|92|89|77|40|-26|-69|-61|-40|-9|21|40|33|18|-20|-60|-77|-78|-61|0|83|117|92|74|76|56|7|-19|-13|22|88|132|138|132|117|68|6|-17|-4|19|43|86|114|106|99|60|-6|-43|-33|-10|8|48|81|85|59|7|-56|-89|-83|-67,0
0.169983,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,-55|-18|43|84|84|55|-4|-59|-68|-38|-20|-2|32|66|76|68|17|-37|-54,0
0.20401,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.238007,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.272003,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.306,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.339996,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,-25|17|65|115|132|105|65|36|25|39|53|70|102|150|213|260|250|180|91|75|108|131|147|189|241|250|219|180|118|54|33|44|64|107|148|135|93|58|11|-45|-77|-72|-56|-23|29|56|42|26|18|-11|-54|-69|-39|16|72|109|123|113|85|41|19|21|28|45,0
0.372986,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,81|105|101|96|101|61|-6|-45|-45|-28|9|68|98|73|36|-3|-27|-29|-40|-72|-91|-57|17|70|69|27|-34|-62|-41|-12|-2|32|70|81|64|34|-20|-83|-101|-68|-30|9|51|48|18,0
0.407013,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.44101,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.475006,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.507996,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.542023,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,8|-7|-56|-83|-39|16|52|88|108|117|119|91|32|-10|-11|21|71|120|151|140|100|56|8|-22|-36|-33|-6|35|69|84|64|34|-8|-66|-89|-88|-70|-12|44|60|51|38|-4|-74|-109|-101|-65|-20|20|52|61|56|32|-34|-89|-85|-44|8|81|120|116|96|80|48,0
0.575989,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,-2|-53|-68|-23|96|202|226|172|122|86|57|36|17|-1|9|56|96|84|65,0
0.609985,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.644012,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.678009,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,28|-30|-84|-97|-72|-22|53|116|130|109|67|1|-44|-50|-24|27|102|149|156|151|135|98|50|32|28|35,0
0.712006,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.745972,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,59|112|145|131|99|58|20|12|32|45|91|148|164|152|128|58|-25|-68|-61|-54|-28|17|70|106|112|80|5|-61|-75|-54|-28|7|44|57|57|58|28|-25|-53|-35|5|59|108|133|122|106|74|21|-5|3|5|11|69|119|118|92|70|8|-43|-50|-45|-40|-5|40,0
0.779999,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,73|61|4|-71|-117|-98|-50|-19|13|53|67|57|34|-23|-70|-74|-72|-66|-24,0
0.814026,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.847992,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.881989,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,48|116|129|101|50|-10|-28|-3|16|16|9|42|109|147|128|72|37|42|61|87|131|170|180|161|119|61|26|28|42|44|64|97|108|90|65|23|-26|-53|-56|-55|-28|41|102|105|60|12|-27|-57|-67|-65|-45|5|55|66|68|50|-5|-45|-53|-19|38|87|134|163,0
0.916016,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,161|145|92|21|-14|-22|-8|32|61|86|128|112|35|-26|-35|-17|4|22|40,0
0.949005,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
0.983002,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
1.017,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,53|57|64|41|-26|-98|-117|-87|-28|36|73|50|7|-9|-29|-58|-85|-93|-69|11|90|123|116|93|45|-26,0
1.052,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
1.08603,0,88,34,2360616,658409,43351,43084,21635,30304,5775,593996,,0
1.12,0,69,27,1159060,1110609,73463,82681,34251,16827,11931,575263,-67|-53|-11|33|71|91|74|56|52|12|-2|18|34|60|102|128|120|98|49|-8|-43|-65|-18|57|108|130|104|60|27|-11|-50|-65|-58|-49|-5|57|89|88|80|40|1|-1|7|4|19|66|109|135|118|66|-1|-26|-18|10|53|109|129|105|81,0
1.15399,0,69,27,1159060,1110609,73463,82681,34251,16827,11931,575263,48|6|-7|6|19|25|56|90|113|112|80|16|-42|-55|-42|-27|5|60|90|90,0
1.18799,0,69,27,1159060,1110609,73463,82681,34251,16827,11931,575263,,0
1.22202,0,69,27,1159060,1110609,73463,82681,34251,16827,11931,575263,,0
1.25601,0,69,27,1159060,1110609,73463,82681,34251,16827,11931,575263,55|-3|-51|-53|-3|60|82|97|116|104|76|42|-10|-52|-57|-38|-5|65|144|156|119|83|39|-17|-50|-19|29|65|85|101|99|76|44|-4|-34|-39|-29|5|65|97|81|36|-17|-45|-65|-71|-46|5|88|140|120|57|9|-24|-43|-49|-34|3|54|86|86|69|76|52,0
1.289,0,69,27,1159060,1110609,73463,82681,34251,16827,11931,575263,-19|-59|-37|6|56|116|153|162|137|84|21|-10|-9|4|23|57|82|74|67,0
1.323,0,69,27,1159060,1110609,73463,82681,34251,16827,11931,575263,,0
1.35803,0,69,27,1159060,1110609,73463,82681,34251,16827,11931,575263,,0
