Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.072998,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.115002,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.165001,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.197998,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.248001,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.299,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.348,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.382,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.431,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.477001,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.515999,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.576,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.617001,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.653999,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.688999,0,21,53,85835,53357,10595,7916,15378,5008,1161,1129,,0
0.734001,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
0.782001,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
0.833,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
0.880001,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
0.932999,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
0.98,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.014,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.065,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.098,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.148,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.182,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.239,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.275,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.315,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.365,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.415,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.454,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.498,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.54,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
1.575,0,37,51,52563,28049,5604,10182,3981,5123,6848,4818,,0
